timestamp,pCut::Motor_Torque,pCut::CTRL_Position_controller::Lag_error,pCut::CTRL_Position_controller::Actual_position,pCut::CTRL_Position_controller::Actual_speed,pSvolFilm::CTRL_Position_controller::Actual_position,pSvolFilm::CTRL_Position_controller::Actual_speed,pSvolFilm::CTRL_Position_controller::Lag_error,pSpintor::VAX_speed
0.00800000,0.05292271,0.02429413,605352704,-4130.17236328,1453619947,9417.63183593,0.90729469,2039.99963378
0.01199999,0.14468970,-0.01514744,605352688,-4082.10742187,1453619985,9281.72851562,0.88131076,2039.99963378
0.01599999,0.07814861,0.01865458,605352672,-3917.31250000,1453620022,9251.52734375,0.91919457,2039.99963378
0.01999999,0.05892083,-0.00161361,605352657,-3797.14965820,1453620059,9301.86230468,0.98280662,2039.99963378
0.02399999,-0.04622339,0.01664972,605352642,-3745.65112304,1453620097,9397.49804687,0.94015479,2039.99963378
0.02799999,0.01094073,0.01244115,605352627,-3573.98974609,1453620134,9269.14453125,0.95846557,2039.99963378
0.03199999,-0.32100602,0.09640598,605352613,-3477.85937500,1453620171,9276.69433593,1.01402199,2039.99963378
0.03599999,0.00490941,-0.02041244,605352599,-3316.49780273,1453620208,9339.61328125,0.96488422,2039.99963378
0.03999999,-0.00912051,-0.03232622,605352586,-3203.20117187,1453620246,9374.84765625,0.91719889,2039.99963378
0.04399999,-0.11007677,-0.01934099,605352574,-3107.07080078,1453620283,9279.21191406,0.99993628,2039.99963378
0.04799999,-0.01227457,-0.03400516,605352562,-2918.24340820,1453620320,9284.24511718,1.05650126,2039.99963378
0.05199999,-0.15521857,0.02064275,605352551,-2770.61450195,1453620358,9369.81347656,1.01440846,2039.99963378
0.05599999,-0.20599098,0.02737617,605352540,-2616.11938476,1453620395,9347.16308593,0.97677505,2039.99963378
0.05999999,-0.25957489,0.02821207,605352530,-2495.95629882,1453620432,9261.59472656,1.02629137,2039.99963378
0.06399999,-0.22398695,0.02788782,605352520,-2252.19726562,1453620470,9289.27832031,1.03598964,2039.99963378
0.06799999,-0.24275654,0.01355028,605352512,-2073.66943359,1453620507,9420.14941406,0.97532647,2039.99963378
0.07199999,-0.11750293,-0.03364324,605352504,-1908.87451171,1453620544,9306.89550781,0.94073021,2039.99963378
0.07599999,-0.22369502,-0.01582336,605352496,-1764.67895507,1453620582,9271.66113281,1.00232684,2039.99963378
0.07999999,-0.22711214,-0.00561666,605352490,-1544.95239257,1453620619,9311.92871093,0.95363688,2039.99963378
0.08399999,-0.39518702,0.03823804,605352484,-1349.25842285,1453620656,9400.01464843,0.92664438,2039.99963378
0.08799999,-0.45650082,0.04004240,605352479,-1174.16381835,1453620693,9291.79492187,1.04260444,2039.99963378
0.09199999,-0.44958579,0.02404689,605352475,-971.60339355,1453620731,9324.51269531,1.00856506,2039.99963378
0.09599999,-0.30308023,-0.03240108,605352471,-734.71069335,1453620768,9284.24511718,0.96390193,2039.99963378
0.09999999,-0.26348373,-0.04651069,605352469,-535.58349609,1453620805,9382.39746093,1.02851867,2039.99963378
0.10399999,-0.35522484,-0.01671648,605352467,-333.02307128,1453620843,9324.51269531,1.03072035,2039.99963378
0.10799999,-0.46062189,0.01692771,605352466,-96.13037109,1453620880,9284.24511718,0.96446865,2039.99963378
0.11199999,-0.57686674,0.03878831,605352467,116.72973632,1453620917,9296.82812500,1.05871045,2039.99963378
0.11599999,-0.63928008,0.04660654,605352468,370.78857421,1453620955,9402.53125000,1.01057922,2039.99963378
0.11999999,-0.71074759,0.05011987,605352470,617.98095703,1453620992,9274.17773437,0.93873333,2039.99963378
0.12399999,-0.80872046,0.05450296,605352473,858.30688476,1453621029,9256.56054687,1.00737690,2039.99963378
0.12799999,-0.89441472,0.05352735,605352477,1108.93249511,1453621067,9359.74707031,1.00253355,2039.99963378
0.13199999,-0.89379823,0.01865530,605352481,1328.65905761,1453621104,9372.33105468,0.93023979,2039.99963378
0.13599999,-0.85478419,-0.00688505,605352487,1572.41821289,1453621141,9251.52734375,0.95729613,2039.99963378
0.13999999,-0.86416363,-0.01985216,605352494,1840.20996093,1453621179,9294.31152343,0.96272534,2039.99963378
0.14399999,-0.84160107,-0.02529144,605352502,2135.46752929,1453621216,9379.88085937,0.88036221,2039.99963378
0.14799999,-0.94294100,-0.01549530,605352511,2307.12890625,1453621253,9316.96289062,0.90747630,2039.99963378
0.15199999,-0.90716433,-0.02088594,605352521,2619.55249023,1453621290,9289.27832031,0.90100753,2039.99963378
0.15599998,-0.84173381,-0.03421115,605352532,2870.17822265,1453621327,9238.94335937,0.85216617,2039.99963378
0.15999998,-1.01520252,-0.00122404,605352545,3117.37060546,1453621364,9286.76171875,0.86876928,2039.99963378
0.16399998,-1.02783858,-0.01062059,605352558,3409.19482421,1453621401,9254.04394531,0.82767069,2039.99963378
0.16799998,-0.96118831,-0.02386617,605352572,3659.82055664,1453621439,9148.34082031,0.74417042,2039.99963378
0.17199998,-0.84531062,-0.05716800,605352587,3961.94458007,1453621475,9082.90625000,0.81247919,2039.99963378
0.17599998,-0.93237912,-0.03962755,605352604,4188.53759765,1453621512,9158.40820312,0.82591432,2039.99963378
0.17999998,-0.94517141,-0.01562404,605352621,4466.62890625,1453621548,9158.40820312,0.67172074,2039.99963378
0.18399998,-0.91765260,-0.02713871,605352639,4689.78857421,1453621584,8967.13574218,0.71021956,2039.99963378
0.18799998,-1.14758145,0.03535294,605352658,4912.94824218,1453621620,8949.51855468,0.75849819,2039.99963378
0.19199998,-0.90647649,-0.02948856,605352679,5204.77294921,1453621656,8924.35156250,0.72509688,2039.99963378
0.19599998,-0.83839422,-0.05622673,605352700,5462.26464843,1453621692,8858.91601562,0.73041617,2039.99963378
0.19999998,-0.91198188,-0.03590750,605352722,5695.72412109,1453621727,8916.80175781,0.69589722,2039.99963378
0.20399998,-0.67228078,-0.10202980,605352745,5898.28466796,1453621763,8853.88281250,0.67518573,2039.99963378
0.20799998,-0.87732052,-0.02005124,605352769,6083.67919921,1453621798,8733.07910156,0.63525897,2039.99963378
0.21199998,-1.03324186,0.01885557,605352794,6227.87451171,1453621832,8632.41015625,0.61898124,2039.99963378
0.21599998,-0.91341626,-0.01619338,605352819,6475.06689453,1453621867,8541.80761718,0.66102796,2039.99963378
0.21999998,-0.77221238,-0.06991362,605352846,6701.66015625,1453621901,8493.98925781,0.71695798,2039.99963378
0.22399998,-0.77851241,-0.02941250,605352873,6808.08984375,1453621935,8426.03710937,0.65813225,2039.99963378
0.22799998,-0.86993896,0.00500726,605352901,7038.11621093,1453621968,8335.43457031,0.62757211,2039.99963378
0.23199998,-0.82011306,0.00429296,605352929,7206.34423828,1453622002,8244.83203125,0.59205353,2039.99963378
0.23599998,-0.86477154,0.00950026,605352958,7398.60498046,1453622035,8161.78027343,0.59874641,2039.99963378
0.23999998,-0.65572500,-0.05306768,605352988,7518.76806640,1453622067,8088.79492187,0.57939159,2039.99963378
0.24399998,-0.53618127,-0.07164096,605353019,7635.49804687,1453622100,8035.94335937,0.58197116,2039.99963378
0.24799998,-0.61308842,-0.00950741,605353050,7872.39062500,1453622132,7955.40771484,0.55209463,2039.99963378
0.25199998,-0.56169563,-0.02466487,605353081,7965.08789062,1453622163,7822.02050781,0.56462675,2039.99963378
0.25599998,-0.62897264,-0.00571322,605353113,8030.31884765,1453622195,7764.13574218,0.52762806,2039.99963378
0.25999998,-0.68078106,0.01753759,605353146,8177.94775390,1453622226,7746.51806640,0.47660097,2039.99963378
0.26399998,-0.52515256,-0.03727352,605353178,8229.44628906,1453622256,7698.70068359,0.51155745,2039.99963378
0.26799998,-0.61977350,0.00611329,605353212,8318.70996093,1453622287,7532.59570312,0.61746305,2039.99963378
0.27199998,-0.54062795,0.01251852,605353245,8407.97363281,1453622317,7431.92626953,0.54584199,2039.99963378
0.27599998,-0.56050628,-0.00048542,605353279,8428.57324218,1453622346,7348.87402343,0.48459374,2039.99963378
0.27999998,-0.30391943,-0.04863238,605353313,8541.87011718,1453622375,7238.13720703,0.47184944,2039.99963378
0.28399998,-0.66799253,0.06657409,605353347,8579.63476562,1453622404,7212.97021484,0.49922537,2039.99963378
0.28799998,-0.38044476,-0.01248669,605353382,8655.16601562,1453622433,7051.89892578,0.51084583,2039.99963378
0.29199998,-0.35528847,-0.02136290,605353417,8662.03222656,1453622461,6968.84619140,0.49308046,2039.99963378
0.29599998,-0.38008901,0.01137375,605353451,8662.03222656,1453622488,6913.47802734,0.46928322,2039.99963378
0.29999997,-0.40859884,0.01354479,605353486,8720.39746093,1453622516,6734.79003906,0.46391817,2039.99963378
0.30399997,-0.44248676,0.03273200,605353521,8758.16308593,1453622543,6666.83789062,0.45393982,2039.99963378
0.30799997,-0.02879279,-0.09304767,605353556,8806.22851562,1453622569,6689.48876953,0.45312494,2039.99963378
0.31199997,-0.02270063,-0.05439597,605353591,8713.53125000,1453622595,6442.84814453,0.43209618,2039.99963378
0.31599997,-0.35806152,0.05429124,605353626,8686.06542968,1453622621,6400.06396484,0.34341990,2039.99963378
0.31999997,-0.18521557,0.00600540,605353661,8686.06542968,1453622646,6284.29394531,0.44616806,2039.99963378
0.32399997,-0.24715957,0.00353264,605353695,8627.70019531,1453622671,6183.62451171,0.44707155,2039.99963378
